"SITE","DATE","OBSERVER","NOTES","start_hour","end_hour","year"
"Western Myles Standish SP","06/11/2020","Trevor Lloyd-Evans","0100 - 0250: Wind = slight to moderate; Sky = m clear to m cloudy; Noise = 0 to 1; Cars 0 to 1. Moon >50% waning; Cloud patchy, light; Precip. 0; Wind 5-8 mph steady; Temp. 64 – 66 F. Point #3: Northern saw-whet owl calling; Point #6: Bullfrogs & some wind, Great horned owl observed flying in headlights; Spring Peepers, Gray Tree Frogs, Bullfrogs. I was short on perfect weather days this spring – probably would have heard more FAR EWPW if wind calmer Moon >1/2 waning; Cloud 0; Precip. 0; Wind 0; Temp. 40 – 35 F mist on ponds (cold air).","1:00","2:50",2020
"Mast Road, Plymouth (Myles Standish)","06/13/2020","Trevor Lloyd-Evans","0202 - 0352: Wind = none; Sky = slight; Noise = none; Cars = none to 1. Moon >50% waning; Wind calm; Cloud 10% patchy; Precip. 0; No REPEATS; Temp. 55 – 58 F; Noise 0. Point 8 = Great Horned Owl. The only night this spring in the solo window that was near perfect conditions.","2:02","3:52",2020
"Montague Plains","06/04/2020","Dave Fuller","2045 -2250: Wind = none to moderate; Sky = slight; Noise = none to moderate; Cars = none to slight. ","20:45","22:50",2020
"Mt. Tekoa","06/03/2020","Chris Connors","2040 - 2255: Wind = None to slight; Sky = none to slight; Noise = none to moderate; Cars = none to strong.","20:40","22:55",2020
"Tully Lake","06/04/2020","Shasta Slade","2038 -2255: Wind = none; Sky = none to moderate; Noise = none to slight; Cars = none to moderate. ","20:38","22:55",2020
"Mashpee / Falmouth","06/05/2020","John Garofoli","2050 -xxxx: Wind = none to slight; Sky = slight; Noise = slight to moderate; Cars = none to strong. ","20:50",NA,2020
"Mashpee / Falmouth","06/05/2020","John Garofoli","2050 -xxxx: Wind = none to slight; Sky = slight; Noise = slight to moderate; Cars = none to strong. ","20:50",NA,2020
"Squannacook","06/10/2020","Josh Gahagan","2430 - 0208: Wind = none; Sky = none to slight; Noise = none to slight; Cars = none to moderate. At Pts 9, 10 & 11 - owls were heard calling from a far distance. ","24:30","2:08",2020
"Martha's Vineyard - WEST (Chilmark/Aquinnah)","06/04/2020","Matt Pelikan","2050 - 2238: Wind = slight to moderate; Sky = slight to moderate; Noise = slight to moderate; Cars = none to moderate. Between Pts 2 & 7 = CWWI (Chuck-wills-widow; Dir = SE, Dis = Far); calling close to road (Ten Lane - 0.6 miles from Pt 2). Pt 3 = Noisy stream that didn't used to be there; someone much have repaired a culvert.","20:50","22:38",2020
"Orchard Street Area, Byfield","05/30/2020","Lynette Leka","2100 - 2300: Wind = none; Sky = none to moderate; Noise = none to moderate; Cars = none to strong. Pts 2 & 5 = Frogs!","21:00","23:00",2020
"Wachusett Reservoir Route","06/06/2020","Hillary Siener (DCR) & Katrina Moulton (Intern)","2144 - 0057: Wind = none to moderate; Sky = none; Noise = none to strong; Cars = none to strong. Started at Pt 6 to lessen chance of road noise expected at Pts 1 & 2. Storms cleared, but at start of survey winds increased immediately and continued for Pts 6 & 7.. Loons calling at Pts 8 & 10; 2 EWPWs calling Pt 10, possible hearing them from across reservoir near Pt 3?. Wind calmed significantly starting at Pt 8 (our third stop). Pt 9 = treefrogs calling. Pt 2 = Barred owl heard. Pt 5 road lights heard. Pt 1=DCR office lights; lots of cars despite late hour! Post survey -re-checked Pt 7 and heard 1 EWPW calling to far W. ","21:44","0:57",2020
"Bare Heath Focus  / Habitat Restoration Area","05/30/2020","Ki Koenen / Steve DeStefano","2045 - 2051: Wind = None, Sky = none; Noise = moderate; Cars = strong. Single point survey; point is approx. 100ft from road (Rte 62).","20:45","20:51",2020
"Bare Heath Focus  / Habitat Restoration Area","05/30/2020","Ki Koenen / Steve DeStefano","2045 - 2051: Wind = None, Sky = none; Noise = moderate; Cars = strong. Single point survey; point is approx. 100ft from road (Rte 62).","20:45","20:51",2020
"Bare Heath Focus  / Habitat Restoration Area","05/30/2020","Ki Koenen / Steve DeStefano","2045 - 2051: Wind = None, Sky = none; Noise = moderate; Cars = strong. Single point survey; point is approx. 100ft from road (Rte 62).","20:45","20:51",2020
"New Salem Barrens Focus  / Habitat Restoration Area","06/03/2020","Ki Koenen / Steve DeStefano","2100 - 2106: Wind= none, Sky = slight; Noise = none; Cars = strong. NOTE: On Friday 6/19/2020, Dave Small and Jillian Whitney heard a single whip-poor-will at this site. Single point survey.","21:00","21:06",2020
"New Salem Young Forst  Focus  / Habitat Restoration Area","06/03/2020","Ki Koenen / Steve DeStefano","2114 - 2120: Wind = none; Sky = slight; Noise = none; Cars = none. Single point survey; ","21:14","21:20",2020
"Nantucket SE (South Pastures)","06/08/2020","Danielle O'Dell","2315 - 0025: Wind = clear to slight. Sky = clear to med clear; Noise = none to slight. Cars = none.","23:15","0:25",2020
"Nantucket SW (West End Nantucket)","06/08/2020","Neil Foley","23215 - 0050: Wind = slight. Sky = clear to med clear. Noise = none to slight. Cars  = 0-2 cars. American Woodcock heard at each stop: Pt. 1: 2 AMWOs calling, Pt. 2: 1 AMWO calling, Pt. 3: 1 AMWO calling, Pt. 4: 1 AMWO calling, Pt. 5: 1 AMWO calling, Pt. 6: 2 AMWOs calling. ","23:21","0:05",2020
"Nantucket Middle Moors (East Nantucket)","06/08/2020","Libby Buck","2320 - 0150: Wind = none to slight; Sky = clear to med clear; Noise = none; Cars = 0 to 2 cars. Pt. 1:  2 AMWOs heard calling; Pt. 2: 1 Virginia rail heard calling; Pt. 3: Chucks-will-widow heard calling; Pt. 4: 3 AMWOs heard calling; Pt. 5: 1 AMWO heard calling; Pt. 6: 2 AMWOs heard calling; Pt. 8: 3 AMWOs heard calling; Pt. 9: 1 AMWO heard calling.","23:20","1:50",2020
"Desert (Assabet River NWR) #1","05/25/2021","Laura Mattei,  Robert Bowers","2100 -2230: Wind = slight. Sky =m clear to m cloudy. Noise = slight to medium. Cars = 0. Pt 1: American toads.","21:00","22:30",2021
"Desert (Assabet River NWR) #1","06/23/2021","Laura Mattei,  Robert Bowers & Craig Smith","2128 - 2231: Wind = none to slight. Sky =clear. Noise = slight to medium. Cars = 0 - 5. Pt 3: 2 barred owls. Pt 5: unknown owl species heard. Pts 4-6 = various frog species heard calling.","21:28","22:31",2021
"Quabbin - South Quabbin (Quabbin Park)","05/19/2021","Larry Therrien","2023 - 2221: No changes to route. Wind = none. Sky = clear. Noise = none to medium. Cars = 0-1. Additional ANVO heard: 5 between Pts 1 & 2; and 2 between 4 & 5. ","20:23","22:21",2021
"Quabbin - South Quabbin (Quabbin Park)","05/19/2021","Larry Therrien","2023 - 2221: No changes to route. Wind = none. Sky = clear. Noise = none to medium. Cars = 0-1. Additional ANVO heard: 5 between Pts 1 & 2; and 2 between 4 & 5. ","20:23","22:21",2021
"Prescott Peninsula","05/20/2021","Larry Therrien","2024 - 2209: No changes to route. Wind = slight to moderate. Sky = clear. Noise = none to medium. Cars = 0b. Additional ANVO heard: 1 between Pts 1 & 2; and 1 between 3 & 4. Common nighthawk (1) did a flyover at Point 3.","20:24","22:09",2021
"Old Sandwich Road, Plymouth (Pine Hills)","06/24/2021","Stew Sanders, Frank Morency & Jan Spence","2100 -2352: No changes to route. Wind = none to moderate. Sky = m clear to cloudy. Noise = none to slight. Cars = 0 - 7.  Tree canopy along Old Sandwauch Road, Pts 3 to 7, are closing in and sky is becoming less visable. Additional AVNO heard: 1 heard on 6/19/21; 1/2 mile NE of Old Sandwich Rd between Pts 7 & 8. 1 heard on 5/24/21 from Pt 7 and then moved around in a circle of 300 yards diameter. 1 on 5/25/21; we attempted survey but decided to postpone until June 2021. We started survey on 6/24 but conditions deteriorated quicky and we only did 1st 3 points. The next evening 6/25, we continued at point 4. The cloud cover and wind deteriorated.","21:00","23:52",2021
"Western Myles Standish SP","06/25/2021","Trevor Lloyd-Evans","2230 -0015: No changes to route. Wind = none to moderate. Sky = m clear to m cloudy. Noise = none to medium. Cars = 0 to 3. Associates included: 2 white-tailed deer; bullfrogs, Fowler’s toads, and gray tree frogs heard calling.	","22:30","0:15",2021
"Mast Road, Plymouth (Myles Standish)","06/30/2021","Trevor Lloyd-Evans","0011 - 0219: No changes to route. Wind = none to slight. Sky = clear to m clear. Noise = none. Cars = 0 - 1. Associates included: Chipping Sparrow; Fowler’s toads, bullfrogs, and gray tree frogs calling.","0:11","2:19",2021
"Montague Plains","05/25/2021","Dave Fuller","2020 - 2230: No changes to route. Wind = none to moderate. Sky = clear to m clear. Noise = none to medium. Cars = 0 to 5.  ","20:20","22:30",2021
"Mt. Tekoa","05/25/2021","Walter Tynan","2100 - 2303: No changes to route. Wind = slight to moderate. Sky = m clear to m cloudy. Noise = none to excessive. Cars = 0 to 23. ","21:00","23:03",2021
"Tully Lake","05/25/2021","Shasta Slade","2023 - 2300: No changes to route. Wind =  none to slight. Sky= m clear to cloud. Noise = none to slight. Cars = 0 to 3.  ","20:23","23:00",2021
"Mashpee / Falmouth","06/29/2021","John Garofoli (DFW)","0026 - 0231: No changes to route. Wind = slight. Sky =clear. Noise =none tomedium. Cars =0. Point 5: Chuck-wills-widow observed.","0:26","2:31",2021
"Martha's Vineyard - WEST (Chilmark/Aquinnah)","05/27/2021","Matt Pelikan","2213 - 2353: No changes to route. Wind = none to moderate. Sky =clear to m clear. Noise =none to medium. Cars =0 -2. Point 3: Chuck-wills-widow heard calling. Point 4: Chuck-wills-widow heard calling. Between Pts 2 & 3 = Chuck-wills-widow heard. Other species heard = Eastern screech owl at Point 1. Point 3 has a noisy culvert. ","22:13","23:53",2021
"Martha's Vineyard  - EAST (Chappaquiddick)","06/23/2021","Mary Spencer, Shea Fee","2140 - 2430: Wind = none. Sky = clear. Noise =none to slight. Cars 0-2. Points 8 & 9 were in-accessable due to Plover nesting. Point 5: 3 Chuck-wills-widow heard. Point 6: 1 Chuck-wills-widow heard.","21:40","24:30",2021
"Orchard Street Area, Byfield","05/19/2021","Lynette Leka","2100 - 2330: Wind = none. Sky = clear. Noise = none to excessive. Cars = 0 to 5.  Point 10: Going by direction, may have been same bird? (Therefore ony recorded as 1 bird heard). Frogs were loud at point 5. ","21:00","23:30",2021
"Wachusett Reservoir Route","05/19/2021","Hillary Siener (DCR), H. Parker & B. Keenan","2040 - 2331: CHANGES to route locations 2021; Points 2, 3, 4, 9 & 10 locations edited. Wind = none to moderate. Sky =clear. Noise = slight to excessive. Cars = 0 -12. Point 2 heard a train; may want to chane again. Point 9: ANVO heard calling before start of survey near truck; did not sing during survey. Point 5: BARO heard powerlines. Possible Common nighthawk but couldn't confirn if AMWO? ","20:40","23:31",2021
"Nantucket SE (SOUTH Pastures)","05/19/2021","Danielle O'Dell",NA,NA,NA,2021
"Nantucket SW (WEST Nantucket)","05/19/2021","Neil Foley","2041 - 2221: CHANGES to route locations 2021; Points 1, 4 & 5. Wind = none to slight. Sky = clear. Noise = none to medium. Cars = 0 -15. Point 1, 2, 4 & 6 = American woodcock heard calling. Point 4 = Barn owl.","20:41","22:21",2021
"Nantucket Middle Moors (EAST Nantucket)","05/19/2021","Libby Buck","No survey start / stop times recorded. Wind = none. Sky = m clear. Noise = none to slight. Cars = 0-2. Point 1: 2 American woodcock. Point 2: 1 Chuck-wills-widow and 2 Virginia rails. Point 3: 1 Chuck-wills-widow. Point 4:  1 American woodcock. Point 5:  3 American woodcock. Point 6:  1 American woodcock. Point 8:  5 American woodcock. Point 9:  1 American woodcock. ",NA,NA,2021
"Parker River NWR","06/24/2021","Kiah Walker, Luke Stuntz","2120 - 2247: No changes to route. Wind = none to slight. Sky = m clear to m cloudy. Noise = slight. Cars = 0 - 4. ","21:20","22:47",2021
"Desert (Assabet River NWR) #1","05/17/2022","Craig Smith","2245-2313: Wind = slight. Sky = clear. Noise = slight. Cars = 0-1. ","22:45","23:13",2022
"Quabbin - South Quabbin (Quabbin Park)","06/08/2022","Larry Therrien, Jillian Whitney","2039 - 2046 (?): Wind = none. Sky = m clear to m cloudy. Noise = none to medium. Cars = 0-2. Pt 4: 1st and 3rd individuals may have been same bird. Between Pts 1 & 2: 3 birds heard calling. Between Pts 3 & 4: 1 bird heard calling. Pt 7: Some recent clearing could help in the future.","20:39","20:46",2022
"Quabbin - South Quabbin (Quabbin Park)","06/08/2022","Larry Therrien, Jillian Whitney","2039 - 2046 (?): Wind = none. Sky = m clear to m cloudy. Noise = none to medium. Cars = 0-2. Pt 4: 1st and 3rd individuals may have been same bird. Between Pts 1 & 2: 3 birds heard calling. Between Pts 3 & 4: 1 bird heard calling. Pt 7: Some recent clearing could help in the future.","20:39","20:46",2022
"Prescott Peninsula","06/13/2022","Larry Therrien","2042-2220: Wind = slight to moderate. Sky = clear. Noise = none to medium. Cars = none. Between Pts 2 & 3: 1 bird heard calling. Pt 5: Some recent clearing observed. Pt 7: Some nearby clearing of trees.","20:42","22:20",2022
"Old Sandwich Road, Plymouth (Pine Hills)","05/15/2022","Frank Morency & Jane Plumly","2015 - 2241: CHANGES TO ROUTE --> Wind = none to strong. Sky = clear to cloudy. Noise = slight to excessive. Cars = 0-5. ","20:15","22:41",2022
"Old Sandwich Road, Plymouth (Pine Hills)","06/13/2022","Stew Sanders & Frank Morency ","2113- 2340: Wind = none to slight. Sky = clear to m clear. Noise = none to excessive. Cars = 0-15. Pts 5 & 6 = noise from tree frogs. Pt 10 = quiet between cars andf trucks.","21:13","23:40",2022
"Western Myles Standish SP","05/22/2022","Trevor Lloyd-Evans","0208- 0409: Wind = none to slight. Sky = clear. Noise = none. Cars = 0-1. Moon waxing 50%., cloud 0%, Precip. 0, Wind S 0-2 mph, Temp. 58-63 degrees, slight haze. Amphibians heard: bullfrogs, Fowlers toad, green frog, gray treefrog, spring peepers. Other birds heard: GHOW, BDOW, OVEN, TUTI, NOMO, AMRO, GRCA.","2:08","4:09",2022
"Western Myles Standish SP","05/22/2022","Trevor Lloyd-Evans","0208- 0409: Wind = none to slight. Sky = clear. Noise = none. Cars = 0-1. Moon waxing 50%., cloud 0%, Precip. 0, Wind S 0-2 mph, Temp. 58-63 degrees, slight haze. Amphibians heard: bullfrogs, Fowlers toad, green frog, gray treefrog, spring peepers. Other birds heard: GHOW, BDOW, OVEN, TUTI, NOMO, AMRO, GRCA.","2:08","4:09",2022
"Western Myles Standish SP","05/22/2022","Trevor Lloyd-Evans","0208- 0409: Wind = none to slight. Sky = clear. Noise = none. Cars = 0-1. Moon waxing 50%., cloud 0%, Precip. 0, Wind S 0-2 mph, Temp. 58-63 degrees, slight haze. Amphibians heard: bullfrogs, Fowlers toad, green frog, gray treefrog, spring peepers. Other birds heard: GHOW, BDOW, OVEN, TUTI, NOMO, AMRO, GRCA.","2:08","4:09",2022
"Western Myles Standish SP","05/22/2022","Trevor Lloyd-Evans","0208- 0409: Wind = none to slight. Sky = clear. Noise = none. Cars = 0-1. Moon waxing 50%., cloud 0%, Precip. 0, Wind S 0-2 mph, Temp. 58-63 degrees, slight haze. Amphibians heard: bullfrogs, Fowlers toad, green frog, gray treefrog, spring peepers. Other birds heard: GHOW, BDOW, OVEN, TUTI, NOMO, AMRO, GRCA.","2:08","4:09",2022
"Mast Road, Plymouth (Myles Standish)","06/09/2022","Trevor Lloyd-Evans","0208- 0409: Wind = none to slight. Sky = clear. Noise = none to slight. Cars = 0-2. Moon waxing 52%., cloud 10%, Precip. 0, Wind SW 1mph, Temp. 57-63 degrees. Pt 6 = Great horned owl. Amphibians heard =  Fowlers toad, bullfrog, treefrogs, and spring peepers.","2:08","4:09",2022
"Montague Plains","05/17/2022","Dave Fuller","2040- 2300: Wind = slight to moderate. Sky = clear to m cloudy. Noise = none to slight. Cars = 0-4. ","20:40","23:00",2022
"Mt. Tekoa","06/14/2022","Walter Tynan","2132- 2348: Wind = slight to moderate. Sky = clear. Noise = none to excessive. Cars = 0-14. Pt 4 & 5 = Grey treefrogs and spring peepers. Pt 4 = raccons fighting. Pts 7 & 8 = Great horned owl heard.","21:32","23:48",2022
"Tully Lake","05/22/2022","Shasta Slade","0121- 0330: Wind = none. Sky = clear. Noise = none to medium. Cars = 0-1. ","1:21","3:30",2022
"Mashpee / Falmouth","06/13/2022","John Garofoli (DFW)","2124 - 2340: Wind = none. Sky = clear. Noise = none to medium. Cars = 0-1. ","21:24","23:40",2022
"Mashpee / Falmouth","06/13/2022","John Garofoli (DFW)","2124 - 2340: Wind = none. Sky = clear. Noise = none to medium. Cars = 0-1. ","21:24","23:40",2022
"Mashpee / Falmouth","06/13/2022","John Garofoli (DFW)","2124 - 2340: Wind = none. Sky = clear. Noise = none to medium. Cars = 0-1. ","21:24","23:40",2022
"Martha's Vineyard - WEST (Chilmark/Aquinnah)","06/14/2022","Matt Pelikan","2120 - 2303: Wind = none to slight. Sky = clear. Noise = none to slight. Cars = 0-2. Between points 2 & 3 = 2 Chuck-wills-widows. Pt 3 & Pt 4 = Screech owls heard.","21:20","23:03",2022
"Martha's Vineyard  - EAST (Chappaquiddick)","06/20/2022","Shea Fee & Ian Davies","2133 - 2259: Wind =slight to moderate. Sky = clear. Noise = none to medium. Cars = 0-4. Pts 1 & 2 = Not surveyed due to PIPL closures.","21:33","22:59",2022
"Martha's Vineyard  SF - (Manuel Correlus State Forest)",NA,"Nelson Smith","2220 - 2450: Wind =none. Sky = clear. Noise = none to slight. Cars = 0. Between Pts 4 & 5 = 1 bird heard calling. Pt 10 = Chuck-wills-widow (NE, far) heard calling.","22:20","24:50",2022
"Wachusett Reservoir Route","06/08/2022","Hillary Siener (DCR), B. Keenan & K. Moulton","2220 - 2450: Wind =none to slight. Sky = m clear to m cloudy. Noise = none to excessive. Cars = 0-3. Additional noise included =  planes, crickets, cars, dogs, toads, etc. ","22:20","24:50",2022
"Nantucket SE (SOUTH Pastures)","05/18/2022","Danielle O'Dell","2345 - 2445: Wind = slight. Sky = m clear. Noise = slight. Cars = 0. Pt 4 = Not surveyed in 2021 or 2022.","23:45","24:45",2022
"Nantucket SW (WEST Nantucket)","05/18/2022","Neil Foley","2330 - 0106: Wind = slight. Sky = m cloudy to cloudy. Noise = slight. Cars = 0 - 3. Pts 2, 3, 4, 5, 6 = American woodcock heard. Pt 1 = Virginia rail heard. Pt 1, 4, 6 = Barn owl heard. ","23:30","1:06",2022
"Nantucket Middle Moors (EAST Nantucket)","05/18/2022","Libby Buck","2350 - 0130: Wind = slight. Sky = m clear. Noise = slight. Cars = 0. Pt 1 = American woodcock heard. Pt 2 = Virginia rail heard. Pt 5 = 2 American woodcock. Pt 6 = Barn owl heard. Pt 8 = 4 American woodcock.","23:50","1:30",2022
"Sylvester Street, Northampton","06/17/2022","Jesse Sterling Hanson","2337 - ?: Wind = none to slight. Sky = clear. Noise = none to slight. Cars = 0-5. ","23:37",NA,2022
"Squannacook","05/20/2022","Chalis Bird","2350 - 0130: Wind = none to slight. Sky = clear. Noise = none to slight. Cars = 0-5. Pts 2 & 9 = American woodcock heard. Pts 5, 6, 7 = Barred owl heard.","23:50","1:30",2022
"Quinapoxet River, Holden (Forestry lot scouting observations)","06/10/2022","Brian Keevan (DCR-DWSP)","Area east and southeast of Quinapoxet Res in Holden",NA,NA,2022
"Parker River NWR",NA,"Kiah Walker, Luke Stuntz",NA,NA,NA,2022
